"","V1","Simulation","Year","Pathway","Unmet_Demand_total_MWh","Unmet_Demand_USD_total"
"1",1,1,2025,"B2",11277.09,2509358.67038902
"2",2,1,2026,"B2",10456.42,2327278.88387936
"3",3,1,2027,"B2",6231.84,1386821.75516741
"4",4,1,2028,"B2",12703.71,2826873.44075525
"5",5,1,2029,"B2",5056.81,1126307.09206492
"6",6,1,2030,"B2",18489.06,4118764.89614134
"7",7,1,2031,"B2",54893.09,12221613.9373193
"8",8,1,2032,"B2",96445.6,21488345.7640617
"9",9,1,2033,"B2",110780.72,24672549.4255587
"10",10,1,2034,"B2",174480.5,38922519.8124792
"11",11,1,2035,"B2",195828.08,43650447.1349354
"12",12,1,2036,"B2",253938.08,56659600.6634174
"13",13,1,2037,"B2",267043.98,59579055.0950185
"14",14,1,2038,"B2",264569.18,59041456.9339272
"15",15,1,2039,"B2",328367.02,73294377.8505375
"16",16,1,2040,"B2",313746.21,69989026.9068216
"17",17,1,2041,"B2",280975.9,62654939.108313
"18",18,1,2042,"B2",273331.23,60965244.7245498
"19",19,1,2043,"B2",292871.96,65371157.0027184
"20",20,1,2044,"B2",225039.83,50196711.1241091
"21",21,1,2045,"B2",279804,62445980.0726149
"22",22,1,2046,"B2",218900.31,48835374.6890024
"23",23,1,2047,"B2",272054.37,60735748.6048306
"24",24,1,2048,"B2",195914.16,43725000.1544585
"25",25,1,2049,"B2",159865.01,35676127.5744953
"26",26,1,2050,"B2",97757.1,21801312.3848237
"27",27,1,2025,"B3",12527.82,2787688.75760946
"28",28,1,2026,"B3",3623.78,805388.740471769
"29",29,1,2027,"B3",2266.01,503830.13171977
"30",30,1,2028,"B3",2994.46,665780.789729189
"31",31,1,2029,"B3",2802.64,623420.05727011
"32",32,1,2030,"B3",12424.5,2765556.72620944
"33",33,1,2031,"B3",16710.02,3718179.54650115
"34",34,1,2032,"B3",33446.86,7444429.17976632
"35",35,1,2033,"B3",43352.36,9653105.74677485
"36",36,1,2034,"B3",94818.08,21138722.7434454
"37",37,1,2035,"B3",107042.12,23840596.9223205
"38",38,1,2036,"B3",100413.93,22384642.7194333
"39",39,1,2037,"B3",104469.29,23292038.9778244
"40",40,1,2038,"B3",131013.89,29215483.1547203
"41",41,1,2039,"B3",160654.1,35833938.6289349
"42",42,1,2040,"B3",151859.05,33866432.1269138
"43",43,1,2041,"B3",85582.44,19061992.7685296
"44",44,1,2042,"B3",87091.91,19394164.0001252
"45",45,1,2043,"B3",102411.64,22827557.6781122
"46",46,1,2044,"B3",79526.13,17708123.8944263
"47",47,1,2045,"B3",116436.91,25950118.6899573
"48",48,1,2046,"B3",62379.36,13893316.1281481
"49",49,1,2047,"B3",72366.74,16127127.3936761
"50",50,1,2048,"B3",61293.73,13660775.3108882
"51",51,1,2049,"B3",38168.16,8501449.1624468
"52",52,1,2050,"B3",13611.76,3033129.67941713
"53",53,1,2025,"C1",18334.7,4079818.76896665
"54",54,1,2026,"C1",25163.67,5601317.18693429
"55",55,1,2027,"C1",26942.41,5999055.61647571
"56",56,1,2028,"C1",59054.93,13149692.4597531
"57",57,1,2029,"C1",81306.99,18102725.6735149
"58",58,1,2030,"C1",224976.6,50124882.1656465
"59",59,1,2031,"C1",478411.21,106641471.184323
"60",60,1,2032,"C1",280022.95,62413512.7611257
"61",61,1,2033,"C1",169585.44,37801573.4275893
"62",62,1,2034,"C1",114745.75,25584518.4548324
"63",63,1,2035,"C1",81981.54,18272010.9019192
"64",64,1,2036,"C1",69998.13,15605666.1487371
"65",65,1,2037,"C1",55057.4,12274158.3824931
"66",66,1,2038,"C1",44630.78,9948579.00410367
"67",67,1,2039,"C1",36198.01,8069307.64380457
"68",68,1,2040,"C1",30307.45,6755840.16599745
"69",69,1,2041,"C1",22858.74,5092565.0505026
"70",70,1,2042,"C1",18791.23,4185139.98570328
"71",71,1,2043,"C1",11446.29,2547587.28263471
"72",72,1,2044,"C1",7934.44,1764931.5761424
"73",73,1,2045,"C1",5933.57,1319280.3199091
"74",74,1,2046,"C1",2685.74,597011.251200181
"75",75,1,2047,"C1",50.48,11206.93397918
"76",76,1,2048,"C1",0,0
"77",77,1,2049,"C1",0,0
"78",78,1,2050,"C1",0,0
