"Pathway","NPV_CAPEX","NPV_FOM","Cost_Type"
"A",0,356206016.441181,"Lower"
"B1",12638724115.6471,529353629.700315,"Lower"
"B2",3358079642.62148,398298143.19956,"Lower"
"B3",16088363273.3772,560863935.878577,"Lower"
"C1",0,356206016.441181,"Lower"
"C2",3358079642.62148,398298143.19956,"Lower"
"C3",12638724115.6471,529353629.700315,"Lower"
"D",12638724115.6471,529353629.700315,"Lower"
"A",0,535512423.365964,"Upper"
"B1",19000784565.7532,795818801.407568,"Upper"
"B2",5048464327.58972,598792816.634473,"Upper"
"B3",24186897488.692,843190714.41205,"Upper"
"C1",0,535512423.365964,"Upper"
"C2",5048464327.58972,598792816.634473,"Upper"
"C3",19000784565.7532,795818801.407568,"Upper"
"D",19000784565.7532,795818801.407568,"Upper"
