County,State,Pathway,total_mean_emission,total_min_emission,total_max_emission
Suffolk,MA,A,9.1226810749608,8.72247024524354,9.56191109489252
Suffolk,MA,B1,3.83480780223889,3.78407903392869,3.87218190599739
Suffolk,MA,B2,3.78716290247183,3.72063605131598,3.84363339905165
Suffolk,MA,B3,3.82826313242847,3.77548015332885,3.8694965324704
Suffolk,MA,C1,3.52475444748014,3.37718261674904,3.64570024954931
Suffolk,MA,C2,3.76512993984073,3.68063500384909,3.82921228445364
Suffolk,MA,C3,3.8283463964204,3.7755669940836,3.86959354815933
Suffolk,MA,D,12.4115070002507,12.0965008442065,12.7114120770133
Norfolk,MA,A,130.65575892616,28.3130857633137,136.652035512782
Norfolk,MA,B1,70.0049619601763,28.083355813347,74.7567051534349
Norfolk,MA,B2,82.9707946501067,26.9655716749536,88.0285012467851
Norfolk,MA,B3,69.6216535791864,63.6860179431117,74.4420145285568
Norfolk,MA,C1,69.424745226068,27.3808921333406,72.0582445600399
Norfolk,MA,C2,77.0261540222267,71.2939328476015,81.4904596999963
Norfolk,MA,C3,65.3111607669582,28.4336410921445,69.7042588775882
Norfolk,MA,D,117.087122878373,28.532079719645,122.140696798758
Middlesex,MA,A,37.3779771156326,36.3922962339822,38.2993329168108
Middlesex,MA,B1,10.2784653623121,9.9120434110955,10.9294466125611
Middlesex,MA,B2,10.1850081036639,9.85235911185413,10.7813763122601
Middlesex,MA,B3,10.1891188575323,9.87559430152397,10.6521737828522
Middlesex,MA,C1,10.0514984175327,9.77928776082926,10.318935877648
Middlesex,MA,C2,10.1065716607746,9.82378822045532,10.4134992114371
Middlesex,MA,C3,10.1891617521415,9.87559550931855,10.6521753074398
Middlesex,MA,D,37.0920320081815,36.0991878850519,38.009220485574
Essex,MA,A,22.8124974028529,1.08889424746252,26.5468888593447
Essex,MA,B1,20.3912421136991,0.0720547484708798,21.4966513130008
Essex,MA,B2,22.7867764886333,0.0750356515122879,23.9854422938632
Essex,MA,B3,20.169801468251,19.104066774372,21.1412987298279
Essex,MA,C1,15.4200857451297,0.0870395466143251,16.695762021105
Essex,MA,C2,21.3178967818725,0.0776179709683987,22.4447438910153
Essex,MA,C3,18.8199122526234,0.0716968817176218,19.7712924755155
Essex,MA,D,27.2027485697441,0.753992948899338,29.9774990384801
Bristol,MA,A,23.5244109675935,5.52463183264291,24.3735655538435
Bristol,MA,B1,17.599261247773,5.97300895189062,18.2085479936448
Bristol,MA,B2,19.3113086879998,18.6187653699925,19.9460052637937
Bristol,MA,B3,17.4217919888881,16.7046269397169,18.2127349445416
Bristol,MA,C1,13.0907212874981,1.14684648422668,13.7049307304021
Bristol,MA,C2,18.1605475631021,17.4921478727223,18.7518541410342
Bristol,MA,C3,16.3564384604443,15.598002248948,17.0300591762511
Bristol,MA,D,22.6519862949723,3.45554642032929,24.5185245027117
Rockingham,NH,A,202.71198433801,111.226645829155,207.793839619008
Rockingham,NH,B1,46.747689279928,19.6392530478528,49.1213992205173
Rockingham,NH,B2,52.462567743847,20.5445189195337,54.9579635372818
Rockingham,NH,B3,46.917961475006,44.4478210901955,49.2968784267443
Rockingham,NH,C1,51.0215970643907,49.6144594948954,52.3834563436698
Rockingham,NH,C2,50.9275851297788,39.5894763194519,53.0442519846326
Rockingham,NH,C3,45.1814472327108,19.8194210858562,47.6033910115065
Rockingham,NH,D,223.908514369552,61.3525437928766,227.978203434667
Providence,RI,A,145.740428129645,51.3035281317749,151.333946034776
Providence,RI,B1,80.9057383433158,48.9321283258552,86.1028754710758
Providence,RI,B2,95.1084898501994,55.3615988567608,101.28292801136
Providence,RI,B3,80.6365026992523,75.0974331467124,85.5733142574199
Providence,RI,C1,79.1202831700033,75.7084438486916,82.1934035510509
Providence,RI,C2,88.5504854937901,82.3650713843902,94.054864762833
Providence,RI,C3,75.7168334565515,45.9230463791756,80.2269839691491
Providence,RI,D,223.005247970293,87.1603259261478,229.986792250176
Berkshire,MA,A,2.72995294273422,1.4764668493995,2.91099564149964
Berkshire,MA,B1,0.356027644036288,0.258137692657317,0.464787090140504
Berkshire,MA,B2,0.571647183403648,0.41275833567184,0.725349312546161
Berkshire,MA,B3,0.360278143675523,0.262641789768669,0.471901822940709
Berkshire,MA,C1,0.559212854899517,0.414602393891876,0.697022758406387
Berkshire,MA,C2,0.500757793837286,0.357201736116516,0.641532894301305
Berkshire,MA,C3,0.298221803170838,0.21300633725218,0.396308596281481
Berkshire,MA,D,1.31770460174917,1.06203974779656,1.56395457749986
Litchfield,CT,A,0.239866863672608,0.236339664844662,0.242587086414891
Litchfield,CT,B1,0.0469767345733829,0.0441273374962655,0.0503487190966794
Litchfield,CT,B2,0.049736764003838,0.0467639310842185,0.0526632446660494
Litchfield,CT,B3,0.0475175165921595,0.0447666163728719,0.0505506247204222
Litchfield,CT,C1,0.0628681539183699,0.0611884318318062,0.0641888437329983
Litchfield,CT,C2,0.0508581401864286,0.048059621346028,0.0535690067245704
Litchfield,CT,C3,0.0475162343853095,0.0447666163728719,0.0505506247204222
Litchfield,CT,D,0.192065651292681,0.102160816585109,0.199487790662615
New London,CT,A,22.4866830383713,21.9590056907912,23.3742749996192
New London,CT,B1,1.08649730343458,0.97501126661845,1.16995815517829
New London,CT,B2,1.14971621211685,1.05406350821612,1.23941204887992
New London,CT,B3,1.10337188872648,0.99942420879978,1.19093359180171
New London,CT,C1,1.32507753305399,1.2245495084836,1.44778620568965
New London,CT,C2,1.18557926906374,1.07975469309322,1.28232996707641
New London,CT,C3,1.10337321826604,0.99942420879978,1.19093359180171
New London,CT,D,16.6098488166468,15.7503135290124,17.5839704482065
Worcester,MA,A,102.336155325773,44.7648610327318,106.734192863984
Worcester,MA,B1,36.6142007352686,29.3846831789037,41.6538796589426
Worcester,MA,B2,50.5105549775989,1.09082035932868,56.349506073447
Worcester,MA,B3,36.3581723205361,29.5270105297826,41.3574970803405
Worcester,MA,C1,39.0549315266159,34.6508381290674,42.5062756800806
Worcester,MA,C2,44.533530999589,37.2668249674081,49.6770820404788
Worcester,MA,C3,32.136250748344,0.715410701413002,36.9514383716497
Worcester,MA,D,83.0653315087635,40.8182197033958,89.321885374162
Hampden,MA,A,15.902085404372,11.8280950598155,17.3384821980456
Hampden,MA,B1,12.2923926283223,11.4940029138631,12.8584292764743
Hampden,MA,B2,13.7390584689487,9.49326340753947,14.3396616387886
Hampden,MA,B3,12.1402824809829,11.3607716305896,12.769401183362
Hampden,MA,C1,9.35920099407075,8.86267813048744,9.83497033586905
Hampden,MA,C2,12.7328011980878,12.0334290203738,13.2868901901025
Hampden,MA,C3,11.3177808959355,10.6175036600882,11.9445746487681
Hampden,MA,D,15.8570434026251,13.5802481686214,18.0080454324934
Fairfield,CT,A,94.6019342582648,0.0349866877910913,99.1008726445725
Fairfield,CT,B1,54.9421846400075,0.106247050347074,57.3602966029729
Fairfield,CT,B2,64.1842888739445,1.19892458766121,66.4831268345925
Fairfield,CT,B3,54.6619345390136,51.0945012222973,56.971273666311
Fairfield,CT,C1,48.4723155859418,47.2257909183507,49.444061437588
Fairfield,CT,C2,59.2131986915219,48.6380836627287,61.3379370232758
Fairfield,CT,C3,50.1652927861382,20.0631046523442,52.4514670710357
Fairfield,CT,D,163.241318229835,76.0889451838539,165.01276294786
Newport,RI,A,13.3205002462749,12.865843321033,13.856662916051
Newport,RI,B1,13.0544360844764,12.6807054639408,13.4212966133554
Newport,RI,B2,13.9667534889466,13.6374628676305,14.2852736654222
Newport,RI,B3,12.8684803739438,12.4942154489066,13.1973591454586
Newport,RI,C1,9.06508359675837,8.86692882320814,9.30291571905883
Newport,RI,C2,13.1590999201368,12.8765265284207,13.5465741382592
Newport,RI,C3,12.2608388206834,11.9017739612347,12.6178677285795
Newport,RI,D,21.0474426119035,20.58887248186,22.7875298417978
Penobscot,ME,A,1.56154433081187,1.45799847248482,1.66809524949856
Penobscot,ME,B1,0.204160784607759,0.152662453105759,0.256252001884724
Penobscot,ME,B2,0.344846571315986,0.155842114124091,0.426202891772897
Penobscot,ME,B3,0.202346856211469,0.14882534058937,0.256220714650914
Penobscot,ME,C1,0.293327140439273,0.225276440213989,0.359306810999819
Penobscot,ME,C2,0.284796677774959,0.211566630977384,0.354679488936188
Penobscot,ME,C3,0.167887919909667,0.121069242301547,0.214757475622258
Penobscot,ME,D,0.689962145586829,0.568225826954216,0.82020060764726
Oxford,ME,A,2.6066332038539,2.48965898195472,2.98737164857725
Oxford,ME,B1,2.49636586396947,2.36984821234395,2.62979519159998
Oxford,ME,B2,2.77221058169482,2.64892000215919,2.92337294487227
Oxford,ME,B3,2.4697709046197,2.34227088034824,2.59139484886086
Oxford,ME,C1,1.85941205811011,1.7649443863182,1.97623267881769
Oxford,ME,C2,2.59219515174742,2.47702646043749,2.72581263434122
Oxford,ME,C3,2.31166805771339,2.1825560194066,2.41107324485904
Oxford,ME,D,3.15981342269125,2.88934369739474,3.4530909077772
New Haven,CT,A,177.26651696413,34.8447910264618,183.327845978358
New Haven,CT,B1,140.708366678239,136.626615269021,143.639634527244
New Haven,CT,B2,150.839921517872,147.089037428475,153.603628659915
New Haven,CT,B3,139.452140143938,135.76684604201,142.009101271284
New Haven,CT,C1,118.614866557994,117.617295451023,119.845219505512
New Haven,CT,C2,143.437933760455,71.5375348820373,145.745418775938
New Haven,CT,C3,133.788760942784,38.5915648276344,136.476196496219
New Haven,CT,D,234.342801210851,56.3530517921999,237.829001233866
Windham,CT,A,54.3181411614279,51.2907756975079,57.0839266124774
Windham,CT,B1,22.2994627854989,17.8367868311012,25.6037880575647
Windham,CT,B2,30.4190712773081,25.4004162930327,33.5313920342889
Windham,CT,B3,22.1375541880765,17.8140654047798,25.3265121462054
Windham,CT,C1,22.9669065142958,20.8372677147213,24.4558931249976
Windham,CT,C2,26.8918720449607,22.3970945735351,29.8208252843506
Windham,CT,C3,19.6767567761839,15.7500760986479,22.6825782468448
Windham,CT,D,75.2110993569045,48.238698291303,78.106868012425
Hillsborough,NH,A,40.3018866783277,37.8420010330694,42.3841147286465
Hillsborough,NH,B1,6.96100322450451,5.08542774647735,8.8044916973539
Hillsborough,NH,B2,11.4976500702995,8.74768417062633,13.9226651541255
Hillsborough,NH,B3,6.90274890467941,5.13198486892277,8.80378182470348
Hillsborough,NH,C1,9.40028565938472,7.48229150385101,11.4897327403946
Hillsborough,NH,C2,9.58486228884614,7.26471160066886,11.8530718157365
Hillsborough,NH,C3,5.81286958649548,4.23074705618814,7.51299525394938
Hillsborough,NH,D,21.6544176742264,2.592119384394,25.4214130151997
Cumberland,ME,A,88.4311148930671,29.1894823483185,90.8138216558073
Cumberland,ME,B1,36.532348095089,17.7387470516047,38.2907890714236
Cumberland,ME,B2,39.156543043822,17.8224677951021,40.8458808485732
Cumberland,ME,B3,36.4803777098329,34.912598468109,38.1102690514384
Cumberland,ME,C1,33.8496796791734,19.8408337508934,35.7044004278663
Cumberland,ME,C2,37.9049097930434,36.6044054532807,39.5781959714873
Cumberland,ME,C3,35.330938523593,17.5023761770649,36.9012225771037
Cumberland,ME,D,90.9752546257204,68.0728084242557,96.9084097283289
Middlesex,CT,A,39.1416884174829,0.00893714566673518,41.9196065974558
Middlesex,CT,B1,15.179290709533,13.1206290219022,16.896602506741
Middlesex,CT,B2,19.7202135754862,17.5576756719568,21.3293594296093
Middlesex,CT,B3,15.0635666766971,13.1299372902986,16.7525054888075
Middlesex,CT,C1,14.8796460403561,13.9658325584944,15.6136342106179
Middlesex,CT,C2,17.6863973086112,15.6577229536382,19.0851013887855
Middlesex,CT,C3,13.5445116182349,11.7296551996777,15.1489797042247
Middlesex,CT,D,38.326383631728,36.3012766353903,39.8729715119023
Coos,NH,A,22.032354293276,21.3526077015663,22.8098638076594
Coos,NH,B1,28.5477702884698,27.7606266034644,29.1745633841209
Coos,NH,B2,29.6484440046892,28.9258124288229,30.4806902351412
Coos,NH,B3,28.1086773434559,27.3632730324284,28.7548293529472
Coos,NH,C1,18.701576470043,17.5395312883073,19.4427046164499
Coos,NH,C2,28.6494933659795,27.8847916569201,29.2001724149271
Coos,NH,C3,27.2346416320984,26.3195916745033,28.0579962218196
Coos,NH,D,22.0659133649174,21.3826494788852,22.8442169756778
Chittenden,VT,A,15.863035705891,15.1641501195904,16.6150775773501
Chittenden,VT,B1,3.7041453344717,3.53157970614159,4.20753936748793
Chittenden,VT,B2,3.74040209772782,3.54471518054167,4.2702952395527
Chittenden,VT,B3,3.70288496906578,3.52629693609493,4.2854355547924
Chittenden,VT,C1,3.80214356597614,3.63613497069151,4.18517688648935
Chittenden,VT,C2,3.75099772725942,3.59916231649693,4.30456271529006
Chittenden,VT,C3,3.70305950587096,3.52629693609493,4.2854355547924
Chittenden,VT,D,16.0863717740606,15.4447306080515,16.8157647828536
Barnstable,MA,A,20.9173099646173,20.4562093066902,21.7260072616706
Barnstable,MA,B1,4.5957517963717,4.369232679303,5.08373908416678
Barnstable,MA,B2,4.74128821087963,4.49806559552547,5.22569790814038
Barnstable,MA,B3,4.62818446302912,4.41091824506698,4.98090388434121
Barnstable,MA,C1,5.23171348297302,5.03231818657455,5.56822802880311
Barnstable,MA,C2,4.81355449551005,4.60375557520584,5.31941032048546
Barnstable,MA,C3,4.62803482916849,4.41091824506698,4.98090388434121
Barnstable,MA,D,18.7542502588896,18.1708692541211,19.7837828339742
Merrimack,NH,A,66.3935131834778,58.6201167171138,67.462943723178
Merrimack,NH,B1,17.7910718778606,17.5939586364649,18.0991339928009
Merrimack,NH,B2,17.9760370147669,17.7537577353626,18.4217919132979
Merrimack,NH,B3,17.8447203984415,17.6353928842391,18.2248392891059
Merrimack,NH,C1,18.435597447693,16.1708880825416,18.9115308170456
Merrimack,NH,C2,18.0599180369163,17.8454291179812,18.4923689525333
Merrimack,NH,C3,17.8447522280363,17.6353928842391,18.2248392891059
Merrimack,NH,D,65.3669695917774,64.650073087426,66.4721660004162
